rel_path,label,speaker_id,gender
Male\Speaker_01\Angry\Angry_01.wav,2,1,0
Male\Speaker_01\Angry\Angry_02.wav,2,1,0
Male\Speaker_01\Angry\Angry_03.wav,2,1,0
Male\Speaker_01\Angry\Angry_04.wav,2,1,0
Male\Speaker_01\Angry\Angry_05.wav,2,1,0
Male\Speaker_01\Angry\Angry_06.wav,2,1,0
Male\Speaker_01\Angry\Angry_07.wav,2,1,0
Male\Speaker_01\Angry\Angry_08.wav,2,1,0
Male\Speaker_01\Angry\Angry_09.wav,2,1,0
Male\Speaker_01\Angry\Angry_10.wav,2,1,0
Male\Speaker_01\Angry\Angry_11.wav,2,1,0
Male\Speaker_01\Angry\Angry_12.wav,2,1,0
Male\Speaker_01\Angry\Angry_13.wav,2,1,0
Male\Speaker_01\Angry\Angry_14.wav,2,1,0
Male\Speaker_01\Angry\Angry_15.wav,2,1,0
Male\Speaker_01\Angry\Angry_16.wav,2,1,0
Male\Speaker_01\Angry\Angry_17.wav,2,1,0
Male\Speaker_01\Angry\Angry_18.wav,2,1,0
Male\Speaker_01\Angry\Angry_19.wav,2,1,0
Male\Speaker_01\Angry\Angry_20.wav,2,1,0
Male\Speaker_01\Angry\Angry_21.wav,2,1,0
Male\Speaker_01\Angry\Angry_22.wav,2,1,0
Male\Speaker_01\Angry\Angry_23.wav,2,1,0
Male\Speaker_01\Angry\Angry_24.wav,2,1,0
Male\Speaker_01\Angry\Angry_25.wav,2,1,0
Male\Speaker_01\Angry\Angry_26.wav,2,1,0
Male\Speaker_01\Angry\Angry_27.wav,2,1,0
Male\Speaker_01\Angry\Angry_28.wav,2,1,0
Male\Speaker_01\Angry\Angry_29.wav,2,1,0
Male\Speaker_01\Angry\Angry_30.wav,2,1,0
Male\Speaker_01\Angry\Angry_31.wav,2,1,0
Male\Speaker_01\Angry\Angry_32.wav,2,1,0
Male\Speaker_01\Angry\Angry_33.wav,2,1,0
Male\Speaker_01\Angry\Angry_34.wav,2,1,0
Male\Speaker_01\Angry\Angry_35.wav,2,1,0
Male\Speaker_01\Angry\Angry_36.wav,2,1,0
Male\Speaker_01\Angry\Angry_37.wav,2,1,0
Male\Speaker_01\Angry\Angry_38.wav,2,1,0
Male\Speaker_01\Angry\Angry_39.wav,2,1,0
Male\Speaker_01\Angry\Angry_40.wav,2,1,0
Male\Speaker_01\Angry\Angry_41.wav,2,1,0
Male\Speaker_01\Angry\Angry_42.wav,2,1,0
Male\Speaker_01\Angry\Angry_43.wav,2,1,0
Male\Speaker_01\Angry\Angry_44.wav,2,1,0
Male\Speaker_01\Angry\Angry_45.wav,2,1,0
Male\Speaker_01\Angry\Angry_46.wav,2,1,0
Male\Speaker_01\Angry\Angry_47.wav,2,1,0
Male\Speaker_01\Angry\Angry_48.wav,2,1,0
Male\Speaker_01\Angry\Angry_49.wav,2,1,0
Male\Speaker_01\Angry\Angry_50.wav,2,1,0
Male\Speaker_01\Angry\Angry_51.wav,2,1,0
Male\Speaker_01\Angry\Angry_52.wav,2,1,0
Male\Speaker_01\Angry\Angry_53.wav,2,1,0
Male\Speaker_01\Angry\Angry_54.wav,2,1,0
Male\Speaker_01\Angry\Angry_55.wav,2,1,0
Male\Speaker_01\Angry\Angry_56.wav,2,1,0
Male\Speaker_01\Angry\Angry_57.wav,2,1,0
Male\Speaker_01\Angry\Angry_58.wav,2,1,0
Male\Speaker_01\Angry\Angry_59.wav,2,1,0
Male\Speaker_01\Angry\Angry_60.wav,2,1,0
Male\Speaker_02\Angry\Angry_01.wav,2,2,0
Male\Speaker_02\Angry\Angry_02.wav,2,2,0
Male\Speaker_02\Angry\Angry_03.wav,2,2,0
Male\Speaker_02\Angry\Angry_04.wav,2,2,0
Male\Speaker_02\Angry\Angry_05.wav,2,2,0
Male\Speaker_02\Angry\Angry_06.wav,2,2,0
Male\Speaker_02\Angry\Angry_07.wav,2,2,0
